ensembl_id	ctrl-1	ctrl-2	ctrl-3	ctrl-4	ctrl-5	cyt-1	cyt-2	cyt-3	cyt-4	cyt-5
ENSG00000000003.10	1	0	0	0	0	0	0	0	0	0
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.8	4208	2847	2242	2509	4037	1789	3762	4170	2596	2669
ENSG00000000457.8	1338	859	651	830	1206	836	1841	1826	1379	1324
ENSG00000000460.12	1567	1408	1039	1197	2000	480	785	764	813	850
ENSG00000000938.8	3	3	1	1	1	2	4	7	6	5
ENSG00000000971.11	0	0	0	0	0	16	9	8	12	14
ENSG00000001036.8	16049	9620	7534	8330	12620	6187	13320	15234	9423	9570
ENSG00000001084.6	5798	3845	2966	3319	5105	1619	3792	3858	2134	2313
ENSG00000001167.10	5664	4952	4080	3894	6121	1872	4701	5611	3325	3451
ENSG00000001460.13	989	886	563	743	1233	500	1080	1120	753	811
ENSG00000001461.12	4435	3228	2287	2906	4655	2158	4737	5021	3228	3572
ENSG00000001497.12	2334	1978	1303	1642	2764	959	2078	2065	1725	1877
ENSG00000001561.6	8542	5741	4701	4087	6180	3570	9128	10719	4842	4913
ENSG00000001617.7	425	230	165	273	375	139	172	199	199	175
ENSG00000001626.9	8	11	8	4	19	1	9	15	14	3
ENSG00000001629.5	9295	7044	5260	5979	9539	5012	10817	12201	8420	8522
ENSG00000001630.11	1467	824	707	1047	1654	485	1147	1364	946	1038
ENSG00000001631.10	5222	3854	2783	3487	6299	2097	4725	4684	3331	3877
ENSG00000002016.12	629	622	504	540	864	320	805	1077	668	791
ENSG00000002079.8	5	5	4	6	5	3	7	10	6	9
ENSG00000002330.9	1032	659	485	682	1135	437	794	859	609	710
ENSG00000002549.8	4935	3285	2477	2810	4467	40462	83043	92724	64994	67065
ENSG00000002586.13	24702	18579	12702	15729	24198	14825	33280	33433	23670	24633
ENSG00000002587.5	639	449	373	394	596	257	641	672	539	500
ENSG00000002726.15	253	226	178	255	493	92	233	203	240	342
ENSG00000002745.8	5	4	3	2	7	3	1	11	2	1
